Region,Expected Reports,Received Reports,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
KP,2277,1759,77,29,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/IDSRS Weekly Report-29-2026.pdf,IDSRS Week 29 Bulletin (2026),2026-08-08T00:39:58Z
AJK,476,0,0,29,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/IDSRS Weekly Report-29-2026.pdf,IDSRS Week 29 Bulletin (2026),2026-08-08T00:39:58Z
ICT,36,32,89,29,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/IDSRS Weekly Report-29-2026.pdf,IDSRS Week 29 Bulletin (2026),2026-08-08T00:39:58Z
Balochistan,1305,523,40,29,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/IDSRS Weekly Report-29-2026.pdf,IDSRS Week 29 Bulletin (2026),2026-08-08T00:39:58Z
GB,405,354,87,29,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/IDSRS Weekly Report-29-2026.pdf,IDSRS Week 29 Bulletin (2026),2026-08-08T00:39:58Z
Sindh,2115,2074,98,29,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/IDSRS Weekly Report-29-2026.pdf,IDSRS Week 29 Bulletin (2026),2026-08-08T00:39:58Z
National,6614,4742,72,29,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/IDSRS Weekly Report-29-2026.pdf,IDSRS Week 29 Bulletin (2026),2026-08-08T00:39:58Z
KP,2277,1838,81,28,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,IDSRS Week 28 Bulletin (2026),2026-08-08T00:40:01Z
AJK,476,0,0,28,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,IDSRS Week 28 Bulletin (2026),2026-08-08T00:40:01Z
ICT,36,29,81,28,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,IDSRS Week 28 Bulletin (2026),2026-08-08T00:40:01Z
Balochistan,1305,513,39,28,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,IDSRS Week 28 Bulletin (2026),2026-08-08T00:40:01Z
GB,405,375,93,28,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,IDSRS Week 28 Bulletin (2026),2026-08-08T00:40:01Z
Sindh,2115,2070,98,28,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,IDSRS Week 28 Bulletin (2026),2026-08-08T00:40:01Z
National,6614,4825,73,28,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,IDSRS Week 28 Bulletin (2026),2026-08-08T00:40:01Z
KP,2277,1815,80,27,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,IDSRS Week 27 Bulletin (2026),2026-08-08T00:40:04Z
AJK,476,0,0,27,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,IDSRS Week 27 Bulletin (2026),2026-08-08T00:40:04Z
ICT,36,32,89,27,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,IDSRS Week 27 Bulletin (2026),2026-08-08T00:40:04Z
Balochistan,1305,532,41,27,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,IDSRS Week 27 Bulletin (2026),2026-08-08T00:40:04Z
GB,405,326,80,27,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,IDSRS Week 27 Bulletin (2026),2026-08-08T00:40:04Z
Sindh,2115,2068,98,27,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,IDSRS Week 27 Bulletin (2026),2026-08-08T00:40:04Z
National,6614,4773,72,27,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,IDSRS Week 27 Bulletin (2026),2026-08-08T00:40:04Z
KP,2277,1786,78,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
AJK,476,0,0,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
ICT,36,32,89,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
Balochistan,1305,599,46,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
GB,405,375,93,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
Sindh,2115,2074,98,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
National,6614,4866,74,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
KP,2277,1827,80,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
AJK,476,0,0,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
ICT,36,32,89,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
