Region,District,Facility Type,Total Sites,Reported Sites,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
KP,Abbottabad,IDSR Reporting Site,111,103,93,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Bannu,IDSR Reporting Site,228,89,39,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Battagram,IDSR Reporting Site,59,36,61,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Buner,IDSR Reporting Site,34,34,100,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Bajaur,IDSR Reporting Site,43,43,100,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Charsadda,IDSR Reporting Site,61,60,98,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Chitral Upper,IDSR Reporting Site,31,31,100,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Chitral Lower,IDSR Reporting Site,37,36,97,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,D.I. Khan,IDSR Reporting Site,115,115,100,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Dir Lower,IDSR Reporting Site,63,56,89,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Dir Upper,IDSR Reporting Site,56,46,82,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Hangu,IDSR Reporting Site,22,19,86,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Haripur,IDSR Reporting Site,72,71,99,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Karak,IDSR Reporting Site,36,35,97,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Khyber,IDSR Reporting Site,53,40,75,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Kohat,IDSR Reporting Site,61,61,100,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Kohistan Lower,IDSR Reporting Site,13,9,69,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Kohistan Upper,IDSR Reporting Site,22,17,77,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Kolai Palas,IDSR Reporting Site,10,10,100,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
KP,Lakki Marwat,IDSR Reporting Site,70,69,99,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-08-16T07:12:19Z
