Disease,Province,Cases,Status,Week,Year,Source link,Source title,date,datetime_loaded
AD (Non-Cholera),AJK,NA,NR,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
AD (Non-Cholera),Balochistan,5336,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
AD (Non-Cholera),GB,2303,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
AD (Non-Cholera),ICT,521,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
AD (Non-Cholera),KP,48914,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
AD (Non-Cholera),Punjab,NA,NR,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
AD (Non-Cholera),Sindh,51943,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
AD (Non-Cholera),Total,109017,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
Malaria,AJK,NA,NR,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
Malaria,Balochistan,1120,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
Malaria,GB,0,reported,30,2026,https://www.nih.org.pk/wp-content/uploads/2026/08/Weekly Report-30-2026.pdf,IDSRS Week 30 Bulletin (2026),2026-07-29,2026-08-16T07:12:17Z
